a menudo|often
abarcar|to cover
abollar|to dent
abrasador|burning
abrigarse|to bundle up
aburrido|boring
acalorado|hot
acatar|to comply with
acechar|to stalk
acogedor|cozy
acomodado|well-off
acostarse|to go to bed
adelgazar|to lose weight
adivinar|to guess
adolorido|sore
adormecer|to make sleepy
adornado|decorated
adrede|on purpose
advertir|to warn
afilado|sharp
afinar|to tune
afortunado|lucky
agasajar|to fete
agitar|to shake
agobiado|overwhelmed
agobiante|stifling
agradecido|grateful
ahumado|smoked
al aire libre|outdoors
alado|winged
alcanzar|to reach
almorzar|to have lunch
alumbrar|to light
amable|kind
amargo|bitter
amasar|to knead
ambiental|environmental
ambulatorio|outpatient
ameno|enjoyable
amortiguar|to cushion
amueblar|to furnish
anaranjado|orange
anidar|to nest
anoche|last night
ansiar|to long for
antenoche|the night before last
apaciguar|to calm down
apagar|to turn off
apestar|to stink
apiñarse|to crowd together
aprender|to learn
aquí|here
ardiente|burning
arreglarse|to get ready
arriesgado|risky
arropar|to tuck in
arroparse|to wrap up
asar|to roast
asustar|to frighten
aterrador|terrifying
atesorar|to amass
aullar|to howl
aventurero|adventurous
averiguar|to find out
azucarado|sugary
añorar|to long for
bailar|to dance
barajar|to shuffle
barato|cheap
barbudo|bearded
bermellón|vermilion
besar|to kiss
boquiabierto|speechless
bordar|to embroider
borrar|to delete
boscoso|wooded
bostezar|to yawn
brillante|bright
brillar|to shine
brotar|to sprout
brumoso|misty
bucear|to scuba dive
cabecear|to nod off
calentar|to heat
caluroso|hot
campestre|country
canoso|gray-haired
cansado|tired
caritativo|charitable
carmesí|crimson
carraspear|to clear one's throat
casero|homemade
casi|almost
cauteloso|cautious
cavar|to dig
cegador|blinding
celoso|jealous
cenar|to have dinner
centellear|to sparkle
chabacano|vulgar
chapotear|to splash around
charlar|to chat
chasquear|to snap
chismear|to gossip
cohibir|to inhibit
colgante|hanging
colmado|full
colorido|colorful
compartir|to share
compasivo|compassionate
comprometido|engaged
congelado|frozen
congelar|to freeze
construir|to build
contratar|to hire
convivir|to live together
coquetear|to flirt
cortésmente|politely
cosechar|to harvest
costero|coastal
cotidiano|daily
cremoso|creamy
crepitar|to crackle
crujiente|crunchy
crédulo|gullible
cursi|corny
cálido|warm
cómodo|comfortable
deprisa|fast
derramar|to spill
derretido|melted
derretirse|to melt
derrochar|to squander
desahogarse|to vent
desaliñado|scruffy
descalzo|barefoot
descansar|to rest
desempacar|to unpack
desempolvar|to dust
desenterrar|to dig up
desenvolver|to unwrap
deslizarse|to slide
desmayarse|to faint
desordenado|messy
despedirse|to say goodbye
despejado|clear
despertarse|to wake up
despojar|to strip
despreocupado|carefree
desprestigiar|to discredit
diario|daily
dibujar|to draw
digno|worthy
dimitir|to resign
disfrazarse|to dress up
disfrutar|to enjoy
distraerse|to get distracted
dorado|golden
egoísta|selfish
el abecedario|alphabet
el abedul|birch
el abeto|fir
el abismo|abyss
el abrazo|hug
el abrelatas|can opener
el abrigo|coat
el acebo|holly
el acertijo|riddle
el aderezo|dressing
el adorno|ornament
el aguacate|avocado
el aguacero|downpour
el aguinaldo|Christmas bonus
el ajedrez|chess
el ajetreo|hustle and bustle
el ajo|garlic
el alambrado|wire fence
el alarido|shriek
el albaricoque|apricot
el albergue|shelter
el alcalde|mayor
el alce|moose
el aldeano|villager
el aleteo|flapping of wings
el alféizar|windowsill
el alga|seaweed
el algodón de azúcar|cotton candy
el alivio|relief
el alma gemela|soulmate
el almohadón|cushion
el alpiste|birdseed
el amanecer|dawn
el ancla|anchor
el antifaz|mask
el apagón|blackout
el apego|attachment
el apio|celery
el aprieto|predicament
el arbusto|bush
el arce|maple
el arco iris|rainbow
el arrecife|reef
el arroz con leche|rice pudding
el asiento|seat
el atardecer|dusk
el aterrizaje|landing
el atuendo|attire
el augurio|omen
el aventón|ride
el avestruz|ostrich
el azahar|orange blossom
el azulejo|tile
el año bisiesto|leap year
el babero|bib
el bacalao|cod
el barrio|neighborhood
el baterista|drummer
el batidor|whisk
el baúl|trunk
el bejuco|liana
el berro|watercress
el bienestar|well-being
el biombo|folding screen
el bisnieto|great-grandson
el bizcocho|sponge cake
el bocado|bite
el bolsillo|pocket
el bombero|firefighter
el bombo|bass drum
el borde|edge
el bosque|forest
el brindis|toast
el burro|donkey
el buñuelo|fritter
el búho|owl
el cachorro|puppy
el calambre|cramp
el calcetín|sock
el caldero|cauldron
el caldo|broth
el callejón|alley
el camarón|shrimp
el camerino|dressing room
el campo|countryside
el cangrejo|crab
el caracol|snail
el caramelo|candy
el cardumen|shoal
el casamiento|marriage
el castillo de arena|sandcastle
el castor|beaver
el centeno|rye
el certamen|competition
el cetro|scepter
el chal|shawl
el champiñón|mushroom
el chapuzón|dip
el charco|puddle
el chelo|cello
el chicle|chewing gum
el chupete|pacifier
el cisne|swan
el clavel|carnation
el clima|climate
el cobayo|guinea pig
el cohete|rocket
el columpio|swing
el conejito|bunny
el corbatín|bow tie
el cosquilleo|tickling
el cubo|bucket
el cuervo|raven
el césped|lawn
el delantal|apron
el delantero|forward
el descubrimiento|discovery
el desempeño|performance
el desfile|parade
el deshielo|thaw
el desliz|slip
el despertador|alarm clock
el destornillador|screwdriver
el dineral|fortune
el discurso|speech
el disfraz|costume
el dolor de muelas|toothache
el dormilón|sleepyhead
el dramaturgo|playwright
el duende|elf
el durazno|peach
el edecán|aide-de-camp
el edredón|comforter
el embuste|lie
el emparedado|sandwich
el empate|tie
el empedrado|paving
el eneldo|dill
el erizo|hedgehog
el escalofrío|shiver
el escalón|step
el escondrijo|hiding place
el escribano|scribe
el espantapájaros|scarecrow
el espanto|fright
el espejismo|mirage
el espumillón|tinsel
el espárrago|asparagus
el esqueleto|skeleton
el estanque|pond
el estornudo|sneeze
el fantasma|ghost
el faro|lighthouse
