abarcar|to cover
abollar|to dent
abrasador|burning
abrazar|to hug
abrigarse|to bundle up
abuchear|to boo
aburrido|boring
acalorado|hot
acatar|to comply with
acechar|to stalk
acogedor|cozy
acomodado|well-off
acostarse|to go to bed
adelgazar|to lose weight
adivinar|to guess
adolorido|sore
adormecer|to make sleepy
adornado|decorated
adrede|on purpose
advertir|to warn
afeitarse|to shave
afilado|sharp
afinar|to tune
afortunado|lucky
agasajar|to fete
agitar|to shake
agobiado|overwhelmed
agobiante|stifling
agradecer|to thank
agradecido|grateful
ahumado|smoked
alado|winged
al aire libre|outdoors
alcanzar|to reach
almorzar|to have lunch
al revés|upside down
alumbrar|to light
amable|kind
amargo|bitter
amasar|to knead
ambiental|environmental
ambulatorio|outpatient
ameno|enjoyable
a menudo|often
amortiguar|to cushion
amueblar|to furnish
anaranjado|orange
anidar|to nest
anoche|last night
añorar|to long for
ansiar|to long for
antenoche|the night before last
apaciguar|to calm down
apagar|to turn off
apestar|to stink
apiñarse|to crowd together
aprender|to learn
aquí|here
ardiente|burning
arreglarse|to get ready
arriesgado|risky
arroparse|to wrap up
arropar|to tuck in
asar|to roast
asustar|to frighten
aterrador|terrifying
atesorar|to amass
aullar|to howl
aventurero|adventurous
averiguar|to find out
azucarado|sugary
bailar|to dance
barajar|to shuffle
barato|cheap
barbudo|bearded
bermellón|vermilion
besar|to kiss
boquiabierto|speechless
bordar|to embroider
borrar|to delete
boscoso|wooded
bostezar|to yawn
brillante|bright
brillar|to shine
brotar|to sprout
brumoso|misty
bucear|to scuba dive
cabecear|to nod off
cacarear|to cluck
calentar|to heat
cálido|warm
caluroso|hot
campestre|country
canoso|gray-haired
cansado|tired
caritativo|charitable
carmesí|crimson
carraspear|to clear one&#x27;s throat
casero|homemade
casi|almost
cauteloso|cautious
cavar|to dig
cegador|blinding
celoso|jealous
cenar|to have dinner
centellear|to sparkle
cepillar|to brush
chabacano|vulgar
chapotear|to splash around
charlar|to chat
chasquear|to snap
chismear|to gossip
cohibir|to inhibit
colgante|hanging
colmado|full
colorido|colorful
cómodo|comfortable
compartir|to share
compasivo|compassionate
comprar|to buy
comprometido|engaged
congelado|frozen
congelar|to freeze
construir|to build
contratar|to hire
convivir|to live together
coquetear|to flirt
cortésmente|politely
cosechar|to harvest
costero|coastal
cotidiano|daily
crédulo|gullible
cremoso|creamy
crepitar|to crackle
crujiente|crunchy
cursi|corny
deprisa|fast
derramar|to spill
derretido|melted
derretirse|to melt
derrochar|to squander
desahogarse|to vent
desaliñado|scruffy
descalzo|barefoot
descansar|to rest
desempacar|to unpack
desempolvar|to dust
desenterrar|to dig up
desenvolver|to unwrap
deslizarse|to slide
desmayarse|to faint
desordenado|messy
despacio|slowly
despedirse|to say goodbye
despejado|clear
despertarse|to wake up
despojar|to strip
despreocupado|carefree
desprestigiar|to discredit
diario|daily
dibujar|to draw
digno|worthy
dimitir|to resign
disfrazarse|to dress up
disfrutar|to enjoy
distraerse|to get distracted
dorado|golden
egoísta|selfish
el abecedario|alphabet
el abedul|birch
el abeto|fir
el abismo|abyss
el abrazo|hug
el abrelatas|can opener
el abrigo|coat
el acantilado|cliff
el acebo|holly
el acertijo|riddle
el achaque|ailment
el aderezo|dressing
el adivino|fortune-teller
el adorno|ornament
el aguacate|avocado
el aguacero|downpour
el aguinaldo|Christmas bonus
el ajedrez|chess
el ajetreo|hustle and bustle
el ajo|garlic
el alambrado|wire fence
el alarido|shriek
el albaricoque|apricot
el albergue|shelter
el alcalde|mayor
el alce|moose
el aldeano|villager
el aleteo|flapping of wings
el alféizar|windowsill
el alga|seaweed
el algodón de azúcar|cotton candy
el alivio|relief
el alma gemela|soulmate
el almohadón|cushion
el alpiste|birdseed
el amanecer|dawn
el ancla|anchor
el año bisiesto|leap year
el antifaz|mask
el apagón|blackout
el apego|attachment
el apio|celery
el aprieto|predicament
el arbusto|bush
el arce|maple
el arco iris|rainbow
el arrecife|reef
el arroz con leche|rice pudding
el asiento|seat
el atardecer|dusk
el aterrizaje|landing
el atuendo|attire
el augurio|omen
el aventón|ride
el avestruz|ostrich
el azahar|orange blossom
el azulejo|tile
el babero|bib
el bacalao|cod
el barrio|neighborhood
el bastón|cane
el baterista|drummer
el batidor|whisk
el baúl|trunk
el bejuco|liana
el berro|watercress
el bienestar|well-being
el biombo|folding screen
el bisnieto|great-grandson
el bizcocho|sponge cake
el bocado|bite
el bolsillo|pocket
el bombero|firefighter
el bombo|bass drum
el borde|edge
el bosque|forest
el brebaje|potion
el brindis|toast
el búho|owl
el buñuelo|fritter
el burro|donkey
el cachorro|puppy
el calamar|squid
el calambre|cramp
el calcetín|sock
el caldero|cauldron
el caldo|broth
el callejón|alley
el camarón|shrimp
el camerino|dressing room
el camote|sweet potato
el campo|countryside
el cangrejo|crab
el caracol|snail
el caramelo|candy
el cardumen|shoal
el casamiento|marriage
el castillo de arena|sandcastle
el castor|beaver
el centeno|rye
el certamen|competition
el césped|lawn
el cetro|scepter
el chal|shawl
el champiñón|mushroom
el chapuzón|dip
el charco|puddle
el chelo|cello
el chicle|chewing gum
el chupete|pacifier
el cisne|swan
el clavel|carnation
el clima|climate
el cobayo|guinea pig
el cohete|rocket
el columpio|swing
el conejito|bunny
el corbatín|bow tie
el cosquilleo|tickling
el cubo|bucket
el cuervo|raven
el delantal|apron
el delantero|forward
el descubrimiento|discovery
el desempeño|performance
el desfile|parade
el deshielo|thaw
el desliz|slip
el despertador|alarm clock
el destornillador|screwdriver
el dineral|fortune
el discurso|speech
el disfraz|costume
el dolor de muelas|toothache
el dormilón|sleepyhead
el dramaturgo|playwright
el duende|elf
el durazno|peach
el edecán|aide-de-camp
el edredón|comforter
el embuste|lie
el emparedado|sandwich
el empate|tie
el empedrado|paving
el eneldo|dill
el erizo|hedgehog
el escalofrío|shiver
el escalón|step
el escondrijo|hiding place
el escribano|scribe
el espantapájaros|scarecrow
el espanto|fright
el espárrago|asparagus
el espejismo|mirage
el espumillón|tinsel
el esqueleto|skeleton
el estanque|pond
el estornudo|sneeze
el faisán|pheasant
el fantasma|ghost
el faro|lighthouse
el fideo|noodle
el follaje|foliage
el frasco|jar
el fresno|ash
el gabán|overcoat
el galgo|greyhound
el garabato|scribble
el garfio|hook
el gentío|crowd
el girasol|sunflower
el globo|balloon
el gorrión|sparrow
el grado|degree
el granero|barn
el grosor|thickness
el guijarro|pebble
el guiño|wink
el hacha|ax
el hada madrina|fairy godmother
el haya|beech
el hechicero|sorcerer
el heno|hay
el héroe|hero
el hielo|ice
el higo|fig
el himno|anthem
el hipo|hiccups
el hombre lobo|werewolf
el homenaje|homage
el hormigueo|tingling
el hoyuelo|dimple
el huerto|orchard
el huevo revuelto|scrambled egg
el humor|mood
el idioma|language
el imán|magnet
el incienso|incense
el inframundo|underworld
el invernadero|greenhouse
el invierno|winter
el jengibre|ginger
el jonrón|home run
el/la aguafiestas|party pooper
el/la alienígena|alien
el/la bromista|jokester
el/la cavernícola|caveman
el/la cineasta|filmmaker
el/la corresponsal|correspondent
el/la delfín|dolphin
el ladrón|thief
el/la maleante|criminal
el/la maracuyá|passion fruit
el/la mar|sea
el/la mecenas|patron
el/la periodista|journalist
el/la personaje|character
el/la polizón|stowaway
el/la sabelotodo|know-it-all
el/la salvavidas|lifeguard
el/la teniente|lieutenant
el/la terrateniente|landowner
el/la tiquismiquis|fussbudget
el/la transeúnte|passerby
el lavaplatos|dishwasher
el leñador|woodcutter
el lienzo|canvas
el lince|lynx
el lirio|iris
el lobo|wolf
el loro|parrot
el lunar|mole
el luto|mourning
el maje|dude
el maleficio|curse
el maletero|trunk
el malvavisco|marshmallow
el manantial|spring
el mandado|errand
el manjar|delicacy
el mapache|raccoon
el maquillaje|makeup
el marinero|sailor
el marisco|seafood
el matorral|thicket
el mazapán|marzipan
el mechón|lock
el medioambiente|environment
el mediodía|noon
el mejillón|mussel
el meñique|little finger
el menosprecio|contempt
el mercadillo|flea market
el mercado|market
el mirador|viewpoint
el mochilero|backpacker
el montículo|hillock
el muelle|pier
el muérdago|mistletoe
el murciélago|bat
el musgo|moss
el neoyorquino|New Yorker
el nido|nest
el noticiero|news
el nubarrón|storm cloud
el ocio|leisure
elogiar|to praise
el oleaje|swell
el olmo|elm tree
el olor|smell
el ombligo|belly button
el omoplato|shoulder blade
el ornitorrinco|platypus
el oro|gold
el oso de peluche|teddy bear
el oso polar|polar bear
el otoño|fall
el panadero|baker
el pañal|diaper
el panal|honeycomb
el pantano|swamp
el papel de regalo|wrapping paper
el papeleo|paperwork
el parche|eyepatch
el pariente|relative
el pasadizo|passage
el pasatiempo|hobby
el pastelero|pastry chef
el patinaje artístico|figure skating
el patinaje|skating
el patín|skate
el patrocinador|sponsor
el pavor|dread
el pavo|turkey
el pedernal|flint
el peluquero|hairdresser
el peñasco|crag
el percance|mishap
el percebe|barnacle
el pétalo|petal
el petardo|firecracker
el picaflor|hummingbird
el pincel|paintbrush
el ping=C3=BCino|penguin
el pino|pine
el poderío|power
el pollito|chick
el ponche|punch
el postre|dessert
el prado|meadow
el pronóstico|forecast
el protector solar|sunscreen
el puercoespín|porcupine
el pulpo|octopus
el puñado|handful
el quiosco|kiosk
el racimo|bunch
el ramo|bouquet
el rastrillo|rake
el ratito|little while
el rebaño|flock
el recordatorio|reminder
el refrigerio|snack
el regalo|present
el relámpago|bolt of lightning
el relleno|stuffing
el reloj|clock
el renacuajo|tadpole
el reno|reindeer
el repollo|cabbage
el resplandor|brightness
el reto|challenge
el retrato|portrait
el riachuelo|brook
el rímel|mascara
el ritmo|rhythm
el roble|oak
el rocío|dew
el rodaje|shooting
el rodillo|rolling pin
el roedor|rodent
el romero|rosemary
el rompecabezas|jigsaw puzzle
el rugido|roar
el ruiseñor|nightingale
el rumbo|course
el sabor|flavor
el sacacorchos|corkscrew
el salero|salt shaker
el saltamontes|grasshopper
el sancocho|stew
el sastre|tailor
el sauce|willow
el sendero|path
el séquito|entourage
el silbato|whistle
el sillón|armchair
el soñador|dreamer
el sonámbulo|sleepwalker
el sorbo|sip
el sosiego|calm
el súbdito|subject
el taburete|stool
el tejón|badger
el tendedero|drying rack
el terciopelo|velvet
el ternero|calf
el terrícola|earthling
el tiburón|shark
el tímpano|eardrum
el títere|puppet
el tlacuache|opossum
el tomillo|thyme
el topo|mole
el torbellino|whirlwind
el trabalenguas|tongue twister
el tramposo|cheater
el trapeador|mop
el trébol|clover
el trigal|wheat field
el trigo|wheat
el trineo|sled
el vals|waltz
el velero|sailboat
el venado|deer
el vendaval|gale
el ventanal|large window
el ventilador|fan
el verano|summer
el viento|wind
el villancico|Christmas carol
el viñedo|vineyard
el vivero|nursery
el vocablo|word
el vocero|spokesperson
el yerno|son-in-law
el zapallo|pumpkin
el zarpazo|swipe
el zorro|fox
el zumbido|buzz
embarazada|pregnant
embarcar|to board
embarrado|muddy
embrujado|haunted
embrujar|to bewitch
emocionado|excited
empalagoso|sickly sweet
empañarse|to steam up
empapado|soaked
empujar|to push
enamorarse|to fall in love
encallar|to run aground
encantador|charming
encaramarse|to climb up onto
encariñarse|to grow fond of
encebollado|cooked with onions
encinta|pregnant
endulzar|to sweeten
enfermo|sick
enfriar|to cool
enhorabuena|congratulations
enjuagar|to rinse
enlatado|canned
enmarañado|tangled
ensayar|to rehearse
ensimismado|absorbed
ensordecedor|deafening
enterrar|to bury
entumecerse|to go numb
entusiasmado|excited
envolver|to wrap
escabullirse|to escape
escalofriante|chilling
escampar|to clear up
escaso|scarce
esculpir|to sculpt
espantar|to frighten
esparcir|to scatter
espeluznante|terrifying
esperanzado|hopeful
espolvorear|to sprinkle
esquiar|to ski
esquilar|to shear
esquivo|evasive
estar de luto|to be in mourning
estremecedor|terrifying
estrenar|to wear for the first time
exprimir|to squeeze
extranjero|foreign
extraño|strange
feroz|fierce
florecer|to bloom
floreciente|blooming
florido|full of flowers
flotante|floating
fluir|to flow
foráneo|foreign
forestal|forest
freír|to fry
fresco|fresh
frío|cold
friolento|sensitive to the cold
fuchi|yuck
fuera|outside
funesto|ill-fated
furibundo|furious
gatear|to crawl
gélido|icy
gozar|to enjoy oneself
grato|pleasant
grisáceo|grayish
gritar|to scream
guapo|handsome
halagador|flattering
hambriento|hungry
hechizar|to cast a spell on
hervido|boiled
hervir|to boil
hogareño|home-loving
holgado|loose-fitting
holgazanear|to laze around
hornear|to bake
hostigar|to pester
humeante|smoking
idóneo|ideal
incrustar|to set
inculcar|to instill
inmobiliario|real estate
intercambiar|to exchange
inusitado|unusual
invernal|wintry
invernar|to winter
inverosímil|implausible
irlandés|Irish
jubilado|retired
jugar|to play
jugoso|juicy
juguetón|playful
la aceituna|olive
la acidez|heartburn
la acuarela|watercolor
la adivinanza|riddle
la agalla|gill
la alameda|tree-lined avenue
la albahaca|basil
la alcachofa|artichoke
la alcancía|piggy bank
la alcaparra|caper
la alegría|joy
la alergia|allergy
la alfombra|carpet
la algarabía|racket
la almeja|clam
la almendra|almond
la almohada|pillow
la altanería|haughtiness
la ampolla|blister
la anguila|eel
la añoranza|nostalgia
la ansiedad|anxiety
la araña|spider
la arboleda|grove
la ardilla|squirrel
la arena|sand
la artimaña|trick
la arveja|pea
la aspiradora|vacuum
la avena|oatmeal
la avidez|eagerness
la bahía|bay
la ballena|whale
la balsa|raft
la bandera|flag
la batuta|baton
la baya|berry
la bellota|acorn
la bisagra|hinge
la bisutería|imitation jewelry
la bobada|nonsense
la brisa|breeze
la broma|joke
la bruja|witch
la brújula|compass
la bufanda|scarf
la burbuja|bubble
la cabaña|cabin
la cabellera|head of hair
la cabra|goat
la cafetera|coffee maker
la caja fuerte|safe
la calabaza|pumpkin
la calavera|skull
la calidez|warmth
la camilla|stretcher
la campana|bell
la campanada|chime
la canasta|basket
la canela|cinnamon
la canica|marble
la carcajada|loud laugh
la castaña|chestnut
la cazuela|casserole dish
la cera|wax
la cereza|cherry
la certidumbre|certainty
la chancleta|flip-flop
la chaqueta|jacket
la chimenea|chimney
la chispa|spark
