Affleck, Ben
Akerman, Chantal
Aldrich, Robert
Allen, Woody
Almodóvar, Pedro
Altman, Robert
Anderson, Wes
Angelopoulos, Theodoros
Anger, Kenneth
Antonioni, Michelangelo
Argento, Dario
Arnold, Jack
Aronofsky, Darren
Arzner, Dorothy
Ashby, Hal
Asquith, Anthony
Assayas, Olivier
Attenborough, Richard
Avery, Tex
Avildsen, John G.
Bakshi, Ralph
Barnet, Boris
Bauer, Yevgeni
Bava, Mario
Beatty, Warren
Becker, Jacques
Benton, Robert
Bergman, Ingmar
Berkeley, Busby
Berlanga, Luis García
Bertolucci, Bernardo
Besson, Luc
Bigelow, Kathryn
Blackton, J. Stuart
Boetticher, Budd
Bogdanovich, Peter
Boorman, John
Borowczyk, Walerian
Borzage, Frank
Boyle, Danny
Brakhage, Stan
Bresson, Robert
Brooks, Mel
Brown, Clarence
Browning, Tod
Buñuel, Luis
Burnett, Charles
Burton, Tim
Cameron, James
Campion, Jane
Capra, Frank
Carné, Marcel
Carpenter, John
Cassavetes, John
Castle, William
Ceylan, Nuri Bilge
Chabrol, Claude
Chaplin, Charles
Chazelle, Damien
Cheh, Chang
Christensen, Benjamin
Cimino, Michael
Clampett, Bob
Clark, Alfred
Clayton, Jack
Cline, Edward F.
Clouzot, Henri-Georges
Cocteau, Jean
Coen, Joel & Ethan
Columbus, Chris
Cooper, Merian C.
Coppola, Sofia
Corman, Roger
Costa, Pedro
Costa-Gavras, Costa-Gavras
Costner, Kevin
Craven, Wes
Cronenberg, David
Cuarón, Alfonso
Cukor, George
Curtiz, Michael
Dante, Joe
Darabont, Frank
Dardenne, Jean-Pierre & Luc
Dassin, Jules
Davies, Terence
Davis, Andrew
DeMille, Cecil B.
Demme, Jonathan
Demy, Jacques
Denis, Claire
Deren, Maya
Dickson, William K.L.
Dieterle, William
Disney, Walt
Donen, Stanley
Donner, Richard
Dreyer, Carl Theodor
Dutt, Guru
Duvivier, Julien
Dwan, Allan
Eastwood, Clint
Edwards, Blake
Eisenstein, Sergei M.
Emmerich, Roland
Engel, Morris
Epstein, Jean
Erice, Víctor
Eustache, Jean
Fassbinder, Rainer Werner
Fellini, Federico
Feuillade, Louis
Fincher, David
Fisher, Terence
Flaherty, Robert J.
Fleischer, Dave
Fleming, Victor
Ford, John
Forman, Miloš
Fosse, Bob
Franju, Georges
Frankenheimer, John
Frears, Stephen
Friedkin, William
Fuller, Samuel
Gance, Abel
Gibson, Mel
Gilliam, Terry
Godard, Jean-Luc
Greenaway, Peter
Greengrass, Paul
Griffith, D. W.
Haggar, William
Hallström, Lasse
Haneke, Michael
Hartley, Hal
Hathaway, Henry
Hawks, Howard
Haynes, Todd
Herzog, Werner
Hill, Walter
Hitchcock, Alfred
Ho, Bong Joon
Honda, Ishirō
Hooper, Tom
Howard, Ron
Hsiao-Hsien, Hou
Hu, King
Hughes, John
Huston, John
Ichikawa, Kon
Imamura, Shōhei
Iñárritu, Alejandro González
Ingram, Rex
Ivens, Joris
Ivory, James
Iwerks, Ub
Jackson, Peter
Jancsó, Miklós
Jarman, Derek
Jarmusch, Jim
Jewison, Norman
Jodorowsky, Alejandro
Jones, Chuck
Jonze, Spike
Kapoor, Raj
Kar-Wai, Wong
Kaufman, Phillip
Kazan, Elia
Keaton, Buster
Kelly, Gene
Khitruk, Fyodor
Kiarostami, Abbas
Kieślowski, Krzysztof
King, Henry
Kitano, Takeshi
Kobayashi, Masaki
Korine, Harmony
Kozintsev, Grigori
Kramer, Stanley
Kubrick, Stanley
Kuleshov, Lev
Kurosawa, Akira
Kusturica, Emir
Landis, John
Lang, Fritz
Lanzmann, Claude
Lasseter, John
Lean, David
Lee, Spike
Leigh, Mike
Leone, Sergio
LeRoy, Mervyn
Lester, Richard
Levinson, Barry
Lewis, Joseph H.
Linklater, Richard
Lloyd, Frank
Loach, Ken
Losey, Joseph
Lubitsch, Ernst
Lucas, George
Lumet, Sidney
Lumière, Louis & Auguste
Lupino, Ida
Lynch, David
Mackendrick, Alexander
Maddin, Guy
Malle, Louis
Makhmalbaf, Mohsen
Malick, Terrence
Malle, Louis
Mamoulian, Rouben
Mankiewicz, Joseph L.
Mann, Michael
Marker, Chris
McCarey, Leo
McCay, Winsor
McQueen, Steve
Mekas, Jonas
Melford, George
Méliès, Georges
Melville, Jean-Pierre
Mendes, Sam
Meyer, Russ
Micheaux, Oscar
Miike, Takashi
Mikhalkov, Nikita
Milestone, Lewis
Miller, George
Minghella, Anthony
Minnelli, Vincente
Miyazaki, Hayao
Mizoguchi, Kenji
Monicelli, Mario
Moore, Michael
Morris, Errol
Morrissey, Paul
Murnau, F. W.
Muybridge, Eadweard
Naruse, Mikio
Niblo, Fred
Nichols, Mike
Nolan, Christopher
Norshteyn, Yuriy
Olcott, Sidney
Oliveira, Manoel de
Olivier, Laurence
Ophüls, Max
Ōshima, Nagisa
Ozu, Yasujirō
Pabst, G. W.
Pakula, Alan J.
Palma, Brian De
Parajanov, Sergei
Parks, Gordon
Pasolini, Pier Paolo
Paul, Robert W.
Payne, Alexander
Peckinpah, Sam
Penn, Arthur
