Adams, Amy
Affleck, Ben
Aiello, Danny
Albertson, Jack
Alda, Alan
Alexander, Jane
Allan, Freya
Allen, Woody
Ameche, Don
Anderson, Judith
Andrews, Julie
Aniston, Jennifer
Margret, Ann
Aragón, Manuel Gutiérrez
Arden, Eve
Arkin, Alan
Armas, Ana de
Arya, Ritu
Asner, Edward
Astaire, Fred
Astor, Mary
Attenborough, Richard
Avalon, Frankie
Aykroyd, Dan
Ayres, Lew
Bacall, Lauren
Baccarin, Morena
Bacon, Kevin
Bakalova, Maria
Baker, Carroll
Baldwin, Alec
Bale, Christian
Ball, Lucille
Balsam, Martin
Bancroft, Anne
Banderas, Antonio
Banks, Elizabeth
Baptista, Alba
Bardot, Brigitte
Barrymore, Drew
Basinger, Kim
Bateman, Jason
Bates, Alan
Baxter, Anne
Beatles, The
Beatty, Warren
Begley, Ed
Bellamy, Ralph
Belmondo, Jean-Paul
Bendix, William
Bening, Annette
Benjamin, Richard
Benny, Jack
Benson, Robby
Berenger, Tom
Bergen, Candice
Bergman, Ingrid
Berry, Halle
Bickford, Charles
Biehn, Michael
Bisset, Jacqueline
Black, Karen
Blanchett, Cate
Blondell, Joan
Bloom, Orlando
Bogarde, Dirk
Boone, Pat
Borgnine, Ernest
Boseman, Chadwick
Boyer, Charles
Boyle, Peter
Brando, Marlon
Brennan, Walter
Bridges, Jeff
Bridges, Lloyd
Brie, Alison
Brimley, Wilford
Broadbent, Jim
Broderick, Matthew
Brodie-Sangster, Thomas
Brolin, Josh
Bronson, Charles
Brooks, Mel
Brosnan, Pierce
Brown, Millie Bobby
Brynner, Yul
Buckley, Jessie
Bujold, Genevieve
Bullock, Sandra
Burnett, Carol
Burns, George
Burstyn, Ellen
Burton, Tim
Busey, Gary
Butler, Gerard
Butterfield, Asa
Buttons, Red
Byrne, Gabriel
Caan, James
Cage, Nicolas
Caine, Michael
Candy, John
Cannon, Dyan
Carano, Gina
Cardellini, Linda
Carell, Steve
Carlo, Yvonne De
Carney, Art
Caron, Leslie
Carradine, David
Carrey, Jim
Carroll, Leo G.
Cash, Aya
Cassavetes, John
Cavill, Henry
Cazale, John
Chalamet, Timothée
Chalotra, Anya
Chamberlain, Richard
Chan, Jackie
Chandler, Jeff
Charisse, Cyd
Chase, Chevy
Cher, Cher
Christie, Julie
Claflin, Sam
Clayburgh, Jill
Cleef, Lee Van
Cleese, John
Clift, Montgomery
Cline, Madelyn
Clooney, George
Close, Glenn
Cobb, Lee J.
Coburn, James
Cohen, Sacha Baron
Collins, Phil
Comer, Jodie
Connelly, Jennifer
Connery, Sean
Conway, Tim
Cooper, Bradley
Costner, Kevin
Cotten, Joseph
Craig, Daniel
Crawford, Joan
Crenna, Richard
Crisp, Donald
Crosby, Bing
Crothers, Scatman
Crowe, Russell
Cruise, Tom
Cruz, Penelope
Crystal, Billy
Cube, Ice
Cukor, George
Culkin, Macaulay
Cummings, Robert
Curtis, Tony
Cusack, John
Daddario, Matthew
Dafoe, Willem
Dailey, Dan
Damme, Jean-Claude Van
Damon, Matt
Dangerfield, Rodney
Daniels, Jeff
Dano, Royal
Danson, Ted
Davis, Mackenzie
Dawson, Rosario
Day, Doris
Day-Lewis, Daniel
Debicki, Elizabeth
Dee, Sandra
Delon, Alain
Demarest, William
Dench, Judi
DeNiro, Robert
Dennehy, Brian
Dennis, Sandy
Depp, Johnny
Derek, Bo
Dern, Laura
Deutch, Zoey
DeVito, Danny
Diaz, Cameron
DiCaprio, Leonardo
Dickinson, Angie
Diesel, Vin
Dillon, Matt
Dinklage, Peter
Donahue, Troy
D'Onofrio, Vincent
Doremus, Drake
Douglas, Michael
Dreyfuss, Richard
Dreymon, Alexander
Dunaway, Faye
Duvall, Shelley
Dyke, Dick Van
Eastwood, Clint
Edgerton, Joel
Ejiofor, Chiwetel
Elba, Idris
Elliott, Sam
Elwes, Cary
Esposito, Giancarlo
Estevez, Emilio
Evans, Chris
Falk, Peter
Farahani, Golshifteh
Faris, Anna
Farrell, Colin
Farrow, Mia
Favreau, Jon
Ferguson, Rebecca
Ferrell, Will
Ferrer, Mel
Field, Sally
Fimmel, Travis
Finch, Peter
Finney, Albert
Firth, Colin
Fishburne, Laurence
Fisher, Carrie
Flender, Nicole
Fletcher, Louise
Fonda, Peter
Ford, Harrison
Foster, Jodie
Fox, Michael J.
Foxx, Jamie
Franco, James
Fraser, Brendan
Freeman, Morgan
Funicello, Annette
Gable, Clark
Gabor, Eva
Gallagher, Aidan
Garcia, Andy
Gardner, Ava
Garland, Judy
Garner, Julia
Garr, Teri
Garson, Greer
Gavin, John
Gere, Richard
Giamatti, Paul
Gibson, Mel
Gielgud, John
Gillan, Karen
Gilpin, Betty
Gish, Lillian
Glenn, Scott
Glover, Danny
Goldberg, Whoopi
Goldblum, Jeff
González, Eiza
Goodman, John
Gordon, Ruth
Gordon-Levitt, Joseph
Gould, Elliott
Grant, Lee
Grey, Joel
Grier, Pam
Griffith, Melanie
Groff, Jonathan
Gugino, Carla
Guinness, Alec
Guttenberg, Steve
Gyllenhaal, Jake
Hackman, Gene
Haddock, Laura
Hader, Bill
Hall, Anthony Michael
Hamill, Mark
Hamilton, Linda
Hampshire, Emily
Hanks, Tom
Hannah, Daryl
Hardy, Tom
Harrelson, Woody
Harris, Richard
Harrison, Rex
Hart, Kevin
Harvey, Laurence
Hathaway, Anne
Hauer, Rutger
Havilland, Olivia de
Hawke, Ethan
Hawn, Russell
Hayden, Sterling
Hayes, Helen
Hayward, Susan
Heard, Paige
Heflin, Van
Henreid, Paul
Henson, Taraji P.
Hepburn, Katharine
Heston, Charlton
Higareda, Martha
Hiller, Wendy
Hirschhorn, Joel
Ho, Bong Joon
Hoffman, Philip Seymour
Hogan, Paul
Holden, William
Holm, Ian
Hope, Bob
Hopkins, Anthony
Hopper, Tom
Hopper, Dennis
Horton, Helen
Houseman, John
Howard, Trevor
Hudson, Rock
Hunt, Helen
Hunter, Tab
Hurt, William
Huston, Anjelica
Hutton, Timothy
Idle, Eric
III, Ira David Wood
Irons, Jeremy
IV, Ira David Wood
Ives, Burl
Jackman, Hugh
Jackson, Samuel L.
Jackson-Cohen, Oliver
Jagger, Dean
James, Lily
Johansson, Vanessa
John-Kamen, Hannah
Johnson, Van
Jolie, Angelina
Jones, Tommy Lee
Jourdan, Louis
Jovovich, Milla
Jr., Robert Downey
Julia, Raul
Karloff, Boris
Keaton, Michael
Keitel, Harvey
Keith, Brian
Kelly, Gene
Kennedy, George
Kerr, Deborah
Kessler, Sarie
Kidder, Margot
Kidman, Nicole
Kilmer, Val
King, Joey
Kingsley, Ben
Kirby, Vanessa
Kline, Kevin
Knight, Shirley
Knightley, Keira
Knotts, Don
Krasinski, John
Kristofferson, Kris
LaBeouf, Shia
Ladd, Alan
Lamour, Dorothy
Lancaster, Burt
Lanchester, Elsa
Landau, Martin
Lane, Diane
Lange, Jessica
Langella, Frank
Langford, Katherine
Lansbury, Angela
Lapkus, Lauren
Laughton, Charles
Law, Jude
Lawford, Peter
Leachman, Cloris
Ledger, Heath
Lee, Christopher
Leigh, Jennifer Jason
Lemmon, Walter
Levy, Dan
Lewis, Jerry
Lillis, Sophia
Lindo, Delroy
Lithgow, John
Lloyd, Norman
Locke, Sondra
Lollobrigida, Gina
Lopez, Jennifer
Loren, Sophia
Lorre, Peter
Lowe, Rob
Loy, Myrna
Lukas, Paul
Lumet, Sidney
Lynley, Carol
Macchio, Ralph
MacDowell, Andie
MacGraw, Ali
MacKay, George
Mackey, Emma
MacLaine, Shirley
MacMurray, Fred
Mahoney, John
Malden, Karl
Malkovich, John
Malone, Dorothy
Mansfield, Jayne
March, Fredric
Marshall, Herbert
Martin, Steve
Marvin, Lee
Mason, Marsha
Matthau, Walter
McAdams, Rachel
McAvoy, James
McCambridge, Mercedes
McCarthy, Andrew
McConaughey, Matthew
McDormand, Frances
McDowall, Roddy
McDowell, Malcolm
McGillis, Kelly
McGregor, Ewan
McGuire, Dorothy
McNichol, Kristy
McQueen, Steve
Melling, Harry
Meredith, Burgess
Merman, Ethel
Midler, Bette
Miles, Vera
Milland, Ray
Mills, Hayley
Mimieux, Yvette
Mineo, Sal
Minnelli, Liza
Mirren, Helen
Mitchum, Robert
Mohr, Jay
Monroe, Marilyn
Moore, Roger
Moorehead, Agnes
Moranis, Rick
Moreno, Rita
Morgan, Harry
Moriarty, Erin
Morley, Robert
Morrow, Vic
Mortensen, Viggo
Mull, Martin
Murphy, Eddie
Murray, Bill
Neal, Patricia
Neeson, Liam
Neill, Sam
Nelson, Judd
Newman, Paul
Nicholson, Jack
Nimoy, Leonard
Niven, David
Nolan, Christopher
Nolte, Nick
Norris, Chuck
Norton, Edward
Novak, Kim
Oates, Warren
O'Brien, Edmond
O'Hara, Maureen
Oldman, Gary
Oliveira, Laysla De
Olivier, Laurence
O'Neal, Tatum
O'Toole, Peter
Pacino, Al
Page, Geraldine
Palance, Jack
Palin, Michael
Parker, Sarah Jessica
Parton, Dolly
Pascal, Pedro
Pattinson, Robert
Paulson, Sarah
Paxton, Bill
Peck, Gregory
Pedretti, Victoria
Pelphrey, Tom
Penn, Sean
Peppard, George
Perez, Taylor Zakhar
Perkins, Anthony
Perry, Tyler
Pesci, Joe
Pfeiffer, Michelle
Phoenix, Joaquin
Pidgeon, Walter
Pine, Chris
Pitt, Brad
Plummer, Christopher
Poitier, Sidney
Pollard, Michael J.
Portman, Natalie
Presley, Elvis
Preston, Robert
Price, Vincent
Prince, Prince
Pryor, Richard
Pugh, Florence
Pullman, Bill
Quaid, Dennis
Quinn, Anthony
Radcliffe, Daniel
Raft, George
Rains, Claude
Ramis, Harold
Randall, Tony
Ray, Aldo
Redford, Robert
Redgrave, Vanessa
Reed, Oliver
Reeve, Christopher
Reeves, Patric
Reilly, John C.
Reiner, Rob
Reinhold, Judge
Remick, Lee
Reyna, Glenda
Reynolds, Ryan
Ricci, Christina
Richardson, Ralph
Rickles, Don
Rickman, Alan
Ringwald, Molly
Ritter, Thelma
Robards, Jason
Robbie, Margot
Robbins, Tim
Roberts, Julia
Robertson, Cliff
Robinson, Jackie
Rockwell, Sam
Rogen, Seth
Rooney, Mickey
Ross, Katharine
Rourke, Mickey
Rowlands, Gena
Rudd, Paul
Ruffalo, Mark
Rush, Geoffrey
Russell, Rosalind
Ryan, Robert
Ryder, Winona
Saint, Eva Marie
Saldana, Zoe
Sanders, George
Sandler, Jackie
Sarandon, Susan
Savalas, Telly
Saxon, John
Scheider, Roy
Schwarzenegger, Arnold
Scott, George C.
Seagal, Steven
Seberg, Jean
Segal, George
Selleck, Tom
Sellers, Peter
Setta, Vera
Shannon, Michael
Sharif, Omar
Shatner, William
Shaw, Robert
Sheedy, Ally
Sheehan, Robert
Sheen, Martin
Shepard, Sam
Shlesinger, Iliza
Shue, Elisabeth
Silvers, Diana
Simmons, J.K.
Sinatra, Frank
Skarsgård, Gustaf
Skelton, Red
Slater, Christian
Sloan, Melanie
Smith, Will
Smollett, Jurnee
Snipes, Wesley
Snodgress, Carrie
Spacek, Sissy
Spacey, Kevin
Spencer, Octavia
Stallone, Sylvester
Stamp, Terence
Stanton, Harry Dean
Stanwyck, Barbara
Starr, Antony
Statham, Jason
Steenburgen, Mary
Steiger, Rod
Stern, Daniel
Stevens, Dan
Stewart, Patrick
Stiller, Ben
Stockwell, Dean
Stokes, Chase
Stone, Sharon
Streep, Meryl
Streisand, Barbra
Sutherland, Donald
Swank, Hilary
Swanson, Gloria
Swayze, Patrick
Swisher, JoAnna Garcia
Sydow, Max Von
Tandy, Jessica
Tatum, Channing
Tavelman, Jill
Taylor, Rod
Taylor-Joy, Anya
Theron, Gerda
Thompson, Emma
Thornton, Billy Bob
Titone, Lila
Torn, Rip
Toro, Benicio del
Tracy, Spencer
Travolta, John
Trevor, Claire
Trump, Donald
Turner, Lana
Turturro, John
Ustinov, Peter
Vaughn, Vince
Vincent, Jan-Michael
Voight, Jon
Wagner, Robert
Wahlberg, Mark
Waititi, Taika
Walken, Christopher
Walker, Paul
Wallach, Eli
Walston, Ray
Warden, Jack
Washington, Denzel
Wayne, John
Weaver, Sigourney
Weaving, Samara
Welch, Raquel
Weld, Tuesday
Welles, Orson
Whitaker, Forest
Widmark, Richard
Wiest, Dianne
Wilder, Gene
Willard, Fred
Williams, Robin
Willis, Bruce
Wilson, Scott
Winfield, Paul
Winfrey, Oprah
Winger, Debra
Winslet, Kate
Winstead, Mary Elizabeth
Winters, Shelley
Witherspoon, Reese
Wood, Sara
Woods, James
Woodward, Joanne
Wyman, Jane
Yelchin, Anton
Young, Gig
Zellweger, Renée
